Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Walton A.,74,90.0,756,636.0,4.0,6.0,4.0,6.0,6.0,4.0,7.0,6.0,7.0,5.0,3.0,2.0,Completed,2.0,1.8,2.01,1.9,2.01,1.91,1.94,1.87,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Pouille L.,2,103.0,7635,575.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.02,19.0,1.03,20.73,1.04,20.73,1.02,14.24,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Rinderknech A.,16,61.0,2560,927.0,7.0,6.0,6.0,3.0,4.0,6.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.25,4.0,1.27,4.18,1.3,4.18,1.27,3.8,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Carballes Baena R.,Tabilo A.,57,26.0,981,1705.0,1.0,6.0,6.0,2.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,2.63,1.5,2.79,1.5,2.79,1.53,2.61,1.5,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mensik J.,Basilashvili N.,48,206.0,1162,273.0,6.0,1.0,6.0,7.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,1.17,5.0,1.16,6.32,1.18,6.32,1.16,5.16,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Michelsen A.,Tsitsipas S.,42,12.0,1270,3195.0,7.0,5.0,6.0,3.0,2.0,6.0,6.0,4.0,,,3.0,1.0,Completed,2.5,1.53,2.44,1.63,2.53,1.63,2.41,1.57,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Borges N.,Muller A.,33,58.0,1445,965.0,6.0,7.0,6.0,3.0,6.0,2.0,7.0,5.0,,,3.0,1.0,Completed,1.67,2.2,1.7,2.3,1.7,2.3,1.67,2.21,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Seyboth Wild T.,59,79.0,960,732.0,6.0,3.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,3.0,2.0,Completed,1.4,3.0,1.43,3.1,1.44,3.1,1.41,2.91,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Stricker D.,89,304.0,637,173.0,6.0,2.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.73,2.1,1.83,2.08,1.83,2.12,1.73,2.09,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mccabe J.,Landaluce M.,258,142.0,216,414.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,3.5,1.3,3.92,1.3,3.92,1.32,3.56,1.3,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Jarry N.,1,36.0,11830,1340.0,7.0,6.0,7.0,6.0,6.0,1.0,,,,,3.0,0.0,Completed,1.01,26.0,1.02,29.95,1.02,29.95,1.02,17.25,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Koepfer D.,27,124.0,1695,485.0,7.0,6.0,6.0,4.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.36,3.2,1.39,3.26,1.42,3.26,1.37,3.09,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Schoolkate T.,Daniel T.,173,113.0,336,519.0,6.0,7.0,7.0,6.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,2.0,1.8,1.97,1.93,2.02,1.93,1.96,1.84,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Vukic A.,Dzumhur D.,68,82.0,778,679.0,6.0,7.0,6.0,0.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.29,3.75,1.34,3.56,1.34,3.75,1.3,3.51,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Draper J.,Navone M.,18,47.0,2530,1173.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.05,11.0,1.08,11.12,1.11,11.12,1.06,9.71,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,Safiullin R.,71,63.0,766,823.0,3.0,6.0,6.0,3.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,1.57,2.38,1.65,2.4,1.67,2.4,1.6,2.33,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Cazaux A.,Baez S.,78,28.0,732,1690.0,6.0,3.0,5.0,7.0,3.0,6.0,6.0,0.0,6.0,3.0,3.0,2.0,Completed,1.4,3.0,1.42,3.13,1.42,3.13,1.4,2.96,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Dougaz A.,65,231.0,807,254.0,3.0,6.0,6.0,4.0,7.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.14,5.5,1.18,5.67,1.18,5.67,1.16,5.18,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Klein L.,22,144.0,2065,405.0,6.0,3.0,0.0,6.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,1.33,3.4,1.36,3.47,1.36,3.47,1.34,3.24,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Faria J.,Kotov P.,125,97.0,481,612.0,6.0,1.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,2.38,1.57,2.4,1.65,2.4,1.65,2.33,1.6,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Struff J.L.,23,43.0,1905,1240.0,6.0,3.0,6.0,0.0,4.0,6.0,6.0,1.0,,,3.0,1.0,Completed,1.44,2.75,1.49,2.85,1.5,2.94,1.45,2.75,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Shang J.,66,50.0,790,1115.0,7.0,6.0,5.0,2.0,,,,,,,1.0,0.0,Retired,2.0,1.8,2.09,1.83,2.1,1.83,2.03,1.79,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Alcaraz C.,Shevchenko A.,3,77.0,7010,743.0,6.0,1.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.01,29.0,1.02,35.12,1.02,35.12,1.01,20.74,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Basavareddy N.,7,107.0,3900,566.0,4.0,6.0,6.0,3.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.04,13.0,1.05,14.3,1.07,14.3,1.04,11.02,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Fearnley J.,Kyrgios N.,92,,632,,7.0,6.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,2.0,1.8,2.09,1.83,2.14,1.86,2.01,1.79,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Bonzi B.,Goffin D.,64,54.0,819,1029.0,6.0,1.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.5,2.63,1.65,2.4,1.65,2.63,1.53,2.49,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Passaro F.,Dimitrov G.,104,10.0,571,3200.0,7.0,5.0,2.0,1.0,,,,,,,1.0,0.0,Retired,11.0,1.05,11.77,1.07,11.86,1.07,10.21,1.05,,
ATP,2025,5,Melbourne,Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Paul T.,O Connell C.,11,70.0,3195,770.0,6.0,2.0,3.0,6.0,6.0,1.0,6.0,7.0,7.0,5.0,3.0,2.0,Completed,1.17,5.0,1.18,5.64,1.18,5.64,1.17,5.04,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Berrettini M.,Norrie C.,34,52.0,1380,1082.0,6.0,7.0,6.0,4.0,6.0,1.0,6.0,3.0,,,3.0,1.0,Completed,1.36,3.2,1.42,3.11,1.45,3.2,1.39,2.97,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kecmanovic M.,Lajovic D.,51,80.0,1096,717.0,7.0,5.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.17,5.0,1.25,4.48,1.25,5.05,1.21,4.45,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Mannarino A.,19,75.0,2410,751.0,7.0,6.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.1,7.0,1.14,6.81,1.14,7.03,1.11,6.44,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Diallo G.,Nardi L.,86,83.0,646,675.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,1.44,2.75,1.47,2.92,1.5,2.92,1.45,2.75,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rune H.,Zhang Zh.,13,49.0,2910,1140.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,6.0,6.0,4.0,3.0,2.0,Completed,1.3,3.5,1.33,3.68,1.36,3.68,1.31,3.46,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Brooksby J.,4,,5350,,6.0,2.0,6.0,0.0,6.0,3.0,,,,,3.0,0.0,Completed,1.03,17.0,1.05,14.34,1.05,17.0,1.03,12.99,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Garin C.,Coric B.,150,87.0,382,639.0,7.0,5.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,2.1,1.73,2.01,1.89,2.1,1.9,2.0,1.81,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Tien L.,Ugo Carabelli C.,121,94.0,493,624.0,4.0,6.0,7.0,6.0,6.0,3.0,5.0,7.0,6.0,4.0,3.0,2.0,Completed,1.14,5.5,1.19,5.49,1.19,6.12,1.15,5.36,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Bublik A.,31,37.0,1620,1330.0,7.0,6.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.57,2.38,1.63,2.44,1.63,2.45,1.59,2.37,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Mpetshi G.,41,30.0,1280,1651.0,7.0,6.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,2.3,1.62,2.13,1.81,2.3,1.81,2.1,1.74,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Griekspoor T.,17,40.0,2555,1280.0,7.0,5.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.36,3.2,1.4,3.2,1.42,3.25,1.37,3.13,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Diaz Acosta F.,Bergs Z.,73,60.0,758,948.0,6.0,7.0,6.0,4.0,1.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,2.75,1.44,2.86,1.48,2.86,1.5,2.73,1.46,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Samrej K.,5,418.0,5030,109.0,6.0,2.0,4.0,6.0,3.0,6.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,1.0,51.0,1.01,42.16,1.01,51.0,1.01,23.91,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Altmaier D.,Comesana F.,101,85.0,582,662.0,6.0,2.0,3.0,6.0,7.0,6.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,1.8,2.0,1.93,2.0,1.93,2.01,1.83,1.98,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Musetti L.,Arnaldi M.,15,39.0,2600,1305.0,7.0,6.0,4.0,6.0,7.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.57,2.38,1.6,2.5,1.6,2.5,1.57,2.39,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Nakashima B.,20,35.0,2280,1355.0,7.0,6.0,7.0,5.0,7.0,5.0,,,,,3.0,0.0,Completed,1.44,2.75,1.51,2.75,1.53,2.75,1.48,2.67,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Sonego L.,Wawrinka S.,55,156.0,1026,371.0,6.0,4.0,5.0,7.0,7.0,5.0,7.0,5.0,,,3.0,1.0,Completed,1.4,3.0,1.48,2.88,1.49,3.0,1.42,2.87,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Boyer T.,Coria F.,136,96.0,448,617.0,6.0,3.0,6.0,7.0,4.0,6.0,7.0,5.0,6.0,1.0,3.0,2.0,Completed,1.14,5.5,1.17,5.93,1.17,6.22,1.15,5.56,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Krueger M.,Hijikata R.,146,72.0,396,759.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,3.0,1.4,2.99,1.45,3.1,1.54,2.94,1.41,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Etcheverry T.,Cobolli F.,38,32.0,1315,1512.0,6.0,7.0,6.0,3.0,7.0,5.0,6.0,1.0,,,3.0,1.0,Completed,1.57,2.38,1.62,2.46,1.63,2.52,1.57,2.41,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Giron M.,Hanfmann Y.,46,95.0,1175,618.0,2.0,6.0,7.0,5.0,6.0,1.0,7.0,5.0,,,3.0,1.0,Completed,1.25,4.0,1.28,4.13,1.28,4.13,1.25,3.98,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Bautista Agut R.,56,53.0,1006,1067.0,3.0,6.0,6.0,4.0,6.0,4.0,7.0,6.0,,,3.0,1.0,Completed,1.36,3.2,1.37,3.41,1.38,3.41,1.35,3.17,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Popyrin A.,69,24.0,772,1840.0,4.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,4.33,1.22,4.67,1.24,4.67,1.28,4.21,1.23,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Van De Zandschulp B.,8,84.0,3535,672.0,6.0,1.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.06,10.0,1.08,10.59,1.08,10.59,1.07,8.89,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Majchrzak K.,182,122.0,317,491.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.62,2.3,1.77,2.18,1.77,2.34,1.68,2.19,,
ATP,2025,5,Melbourne,Australian Open,2025-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fonseca J.,Rublev A.,112,9.0,520,3520.0,7.0,6.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,2.3,1.62,2.48,1.61,2.48,1.66,2.3,1.62,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Machac T.,Opelka R.,25,170.0,1805,341.0,3.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,1.33,3.4,1.35,3.5,1.38,3.5,1.35,3.23,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Lehecka J.,Gaston H.,29,81.0,1660,703.0,6.0,3.0,3.0,1.0,,,,,,,1.0,0.0,Retired,1.05,11.0,1.09,9.71,1.09,11.4,1.06,9.38,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Alcaraz C.,Nishioka Y.,3,65.0,7010,807.0,6.0,0.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,Completed,1.02,19.0,1.02,29.55,1.02,29.55,1.02,15.68,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Bonzi B.,Passaro F.,64,104.0,819,571.0,6.0,2.0,6.0,4.0,3.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.25,4.0,1.28,4.1,1.32,4.1,1.29,3.69,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Borges N.,Thompson J.,33,27.0,1445,1695.0,6.0,3.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.91,1.91,1.95,1.95,1.95,2.04,1.88,1.93,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Carballes Baena R.,Duckworth J.,57,89.0,981,637.0,6.0,4.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,1.57,2.38,1.63,2.45,1.63,2.45,1.61,2.32,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Faria J.,7,125.0,3900,481.0,6.0,1.0,6.0,7.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.01,23.0,1.02,29.32,1.03,29.32,1.02,16.15,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Fils A.,Halys Q.,21,74.0,2280,756.0,6.0,2.0,4.0,6.0,7.0,6.0,7.0,5.0,,,3.0,1.0,Completed,1.22,4.33,1.25,4.51,1.25,4.51,1.23,4.15,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Vukic A.,Korda S.,68,22.0,778,2065.0,6.0,4.0,3.0,6.0,2.0,6.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,4.33,1.22,4.15,1.28,4.33,1.28,4.03,1.24,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Fearnley J.,Cazaux A.,92,78.0,632,732.0,3.0,6.0,7.0,5.0,6.0,2.0,6.0,3.0,,,3.0,1.0,Completed,1.62,2.3,1.65,2.4,1.68,2.4,1.64,2.26,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Mensik J.,Ruud C.,48,6.0,1162,4210.0,6.0,2.0,3.0,6.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,2.1,1.73,2.17,1.78,2.23,1.78,2.1,1.74,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Draper J.,Kokkinakis T.,18,71.0,2530,766.0,6.0,7.0,6.0,3.0,3.0,6.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.44,2.75,1.47,2.92,1.56,2.92,1.44,2.77,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Davidovich Fokina A.,Auger-Aliassime F.,66,23.0,790,1905.0,6.0,7.0,6.0,7.0,6.0,4.0,6.0,1.0,6.0,3.0,3.0,2.0,Completed,3.75,1.29,3.84,1.31,3.84,1.33,3.57,1.3,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Humbert U.,Habib H.,14,219.0,2765,264.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.08,8.0,1.13,7.35,1.13,8.0,1.1,6.99,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Martinez P.,2,44.0,7635,1220.0,6.0,1.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,1.02,21.0,1.02,28.08,1.02,28.08,1.01,16.29,,
ATP,2025,5,Melbourne,Australian Open,2025-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Paul T.,Nishikori K.,11,76.0,3195,743.0,6.0,7.0,6.0,0.0,6.0,3.0,6.0,1.0,,,3.0,1.0,Completed,1.4,3.0,1.45,2.97,1.47,3.0,1.41,2.88,,
ATP,2025,5,Melbourne,Australian Open,2025-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Kecmanovic M.,Hurkacz H.,51,17.0,1096,2555.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,3.75,1.29,3.52,1.35,3.75,1.35,3.47,1.31,,
ATP,2025,5,Melbourne,Australian Open,2025-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Khachanov K.,Diallo G.,19,86.0,2410,646.0,7.0,6.0,4.0,6.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,1.33,3.4,1.31,3.85,1.33,3.85,1.32,3.41,,
ATP,2025,5,Melbourne,Australian Open,2025-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Monfils G.,Altmaier D.,41,101.0,1280,582.0,7.0,5.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.2,4.5,1.24,4.46,1.26,4.54,1.22,4.38,,
ATP,2025,5,Melbourne,Australian Open,2025-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Musetti L.,Shapovalov D.,15,56.0,2600,1006.0,7.0,6.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,2.1,1.73,2.08,1.84,2.1,1.87,2.01,1.81,,
ATP,2025,5,Melbourne,Australian Open,2025-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Cerundolo F.,Diaz Acosta F.,31,73.0,1620,758.0,6.0,2.0,1.0,0.0,,,,,,,1.0,0.0,Retired,1.4,3.0,1.36,3.48,1.42,3.48,1.39,3.0,,
